"mhp","ten_hocphan","tin_chi"
"7080112","Trí tuệ nhân tạo","3"
"7080116","Phát triển ứng dụng web + BTL","4"
"7080118","Thiết kế website","2"
"7080206","Cấu trúc dữ liệu&Giải thuật","3"
"7080319","Trực quan hóa dữ liệu","3"
"7080323","Dịch vụ dựa trên địa điểm","3"
"7080403","Đồ án CNTT Địa học","2"
"7080410","Nhập môn nghành Khoa học Dữ liệu","3"
"7080512","Lập trình hướng đối tượng với Java","3"
